away_team,away_points,home_team,home_points,n_ot
Minnesota Timberwolves,91,New Orleans Pelicans,139,0
Utah Jazz,102,New York Knicks,100,0
Detroit Pistons,96,Oklahoma City Thunder,89,1
Milwaukee Bucks,85,Orlando Magic,101,0
Charlotte Hornets,103,Phoenix Suns,95,0
Indiana Pacers,99,Chicago Bulls,90,0
Atlanta Hawks,94,Cleveland Cavaliers,127,0
Minnesota Timberwolves,117,Dallas Mavericks,131,0
Charlotte Hornets,87,Golden State Warriors,112,0
Phoenix Suns,107,Los Angeles Clippers,120,0
Detroit Pistons,88,Memphis Grizzlies,95,0
Brooklyn Nets,87,Portland Trail Blazers,97,0
San Antonio Spurs,91,Sacramento Kings,94,0
Utah Jazz,93,Toronto Raptors,111,0
Orlando Magic,93,Washington Wizards,98,0
Golden State Warriors,136,Los Angeles Lakers,115,0
Milwaukee Bucks,91,Miami Heat,84,0
Denver Nuggets,93,New York Knicks,109,0
Houston Rockets,69,Oklahoma City Thunder,65,0
Phoenix Suns,118,Boston Celtics,114,0
Miami Heat,95,Brooklyn Nets,83,0
Dallas Mavericks,107,Charlotte Hornets,80,0
Denver Nuggets,106,Cleveland Cavaliers,97,0
Orlando Magic,107,Detroit Pistons,93,0
Chicago Bulls,105,Los Angeles Clippers,89,0
Houston Rockets,93,Memphis Grizzlies,119,0
New Orleans Pelicans,93,Portland Trail Blazers,102,0
Philadelphia 76ers,75,San Antonio Spurs,100,0
Los Angeles Lakers,114,Atlanta Hawks,109,0
New York Knicks,113,Milwaukee Bucks,117,0
New Orleans Pelicans,106,Sacramento Kings,100,0
Oklahoma City Thunder,81,Utah Jazz,98,0
Milwaukee Bucks,122,Brooklyn Nets,118,3
San Antonio Spurs,92,Cleveland Cavaliers,90,0
Oklahoma City Thunder,100,Denver Nuggets,107,0
Phoenix Suns,88,Detroit Pistons,86,0
Los Angeles Lakers,98,Houston Rockets,92,0
Charlotte Hornets,86,Indiana Pacers,88,0
New York Knicks,99,Minnesota Timberwolves,115,0
Los Angeles Clippers,114,Orlando Magic,90,0
Boston Celtics,101,Philadelphia 76ers,90,0
Memphis Grizzlies,92,Toronto Raptors,96,0
Dallas Mavericks,105,Washington Wizards,102,0
Los Angeles Clippers,110,Miami Heat,93,0
Chicago Bulls,88,Sacramento Kings,103,0
Detroit Pistons,89,Atlanta Hawks,99,0
Orlando Magic,105,Charlotte Hornets,100,0
Los Angeles Lakers,106,Dallas Mavericks,140,0
New Orleans Pelicans,97,Denver Nuggets,117,0
Utah Jazz,88,Golden State Warriors,101,0
Boston Celtics,100,Memphis Grizzlies,117,0
San Antonio Spurs,121,Minnesota Timberwolves,92,0
Brooklyn Nets,94,Oklahoma City Thunder,92,0
Phoenix Suns,122,Philadelphia 76ers,96,0
Chicago Bulls,87,Portland Trail Blazers,105,0
