away_team,away_points,home_team,home_points,n_ot
Dallas Mavericks,100,Los Angeles Clippers,120,0
San Antonio Spurs,108,Minnesota Timberwolves,93,0
Charlotte Hornets,110,New York Knicks,82,0
Indiana Pacers,92,Philadelphia 76ers,93,0
Orlando Magic,92,Portland Trail Blazers,103,0
Boston Celtics,96,Toronto Raptors,109,0
Washington Wizards,89,Atlanta Hawks,120,0
Miami Heat,104,Los Angeles Clippers,90,0
Portland Trail Blazers,106,Los Angeles Lakers,94,0
Phoenix Suns,110,Memphis Grizzlies,122,2
Cleveland Cavaliers,84,Sacramento Kings,103,0
New Orleans Pelicans,100,Boston Celtics,108,0
Houston Rockets,113,Brooklyn Nets,99,0
Orlando Magic,121,Chicago Bulls,114,0
Detroit Pistons,114,Toronto Raptors,111,0
Minnesota Timberwolves,110,Indiana Pacers,101,0
Miami Heat,78,Los Angeles Lakers,75,0
Atlanta Hawks,105,Philadelphia 76ers,87,0
Cleveland Cavaliers,100,Phoenix Suns,107,0
Dallas Mavericks,108,Sacramento Kings,104,1
Golden State Warriors,116,Utah Jazz,105,0
San Antonio Spurs,93,Washington Wizards,101,0
Atlanta Hawks,105,Boston Celtics,91,0
Memphis Grizzlies,103,Brooklyn Nets,92,0
Washington Wizards,105,Chicago Bulls,99,0
San Antonio Spurs,98,Charlotte Hornets,93,0
Dallas Mavericks,107,Denver Nuggets,114,0
New Orleans Pelicans,105,Detroit Pistons,94,0
Miami Heat,89,Golden State Warriors,104,0
Houston Rockets,113,Orlando Magic,120,0
Los Angeles Clippers,100,Portland Trail Blazers,94,0
Philadelphia 76ers,84,Toronto Raptors,100,0
Oklahoma City Thunder,101,Houston Rockets,112,0
Cleveland Cavaliers,109,Los Angeles Lakers,102,0
New York Knicks,79,Milwaukee Bucks,95,0
Chicago Bulls,119,Boston Celtics,103,0
Denver Nuggets,89,Dallas Mavericks,97,0
Detroit Pistons,98,Indiana Pacers,96,0
Cleveland Cavaliers,126,Los Angeles Clippers,121,0
Golden State Warriors,115,Oklahoma City Thunder,127,0
Memphis Grizzlies,106,Orlando Magic,96,0
New Orleans Pelicans,81,Philadelphia 76ers,96,0
Minnesota Timberwolves,99,Phoenix Suns,110,0
Miami Heat,95,Sacramento Kings,83,0
Portland Trail Blazers,96,San Antonio Spurs,110,0
Atlanta Hawks,110,Toronto Raptors,89,0
Los Angeles Lakers,85,Utah Jazz,94,0
Brooklyn Nets,102,Washington Wizards,80,0
Washington Wizards,99,Brooklyn Nets,90,0
Atlanta Hawks,107,Chicago Bulls,99,0
Indiana Pacers,71,Charlotte Hornets,80,1
Minnesota Timberwolves,113,Denver Nuggets,105,0
Philadelphia 76ers,89,Detroit Pistons,107,0
Golden State Warriors,131,Houston Rockets,106,0
Portland Trail Blazers,98,Memphis Grizzlies,102,0
Los Angeles Clippers,117,Sacramento Kings,108,0
Oklahoma City Thunder,127,Orlando Magic,99,0
Utah Jazz,69,San Antonio Spurs,89,0
New Orleans Pelicans,95,Toronto Raptors,93,0
Detroit Pistons,82,Atlanta Hawks,93,0
Minnesota Timberwolves,80,Charlotte Hornets,105,0
Chicago Bulls,94,Cleveland Cavaliers,108,0
Denver Nuggets,79,Golden State Warriors,122,0
Indiana Pacers,98,Houston Rockets,110,0
Boston Celtics,93,Los Angeles Clippers,102,0
Dallas Mavericks,103,Memphis Grizzlies,95,0
Toronto Raptors,92,Milwaukee Bucks,89,0
New Orleans Pelicans,92,New York Knicks,99,0
Los Angeles Lakers,100,Phoenix Suns,115,0
Sacramento Kings,94,Portland Trail Blazers,98,0
Philadelphia 76ers,76,Washington Wizards,111,0
San Antonio Spurs,109,Denver Nuggets,99,0
Oklahoma City Thunder,94,Miami Heat,86,0
Indiana Pacers,91,Atlanta Hawks,110,0
Miami Heat,76,Charlotte Hornets,78,0
Utah Jazz,92,Cleveland Cavaliers,106,0
Orlando Magic,118,Detroit Pistons,128,0
Houston Rockets,113,Golden State Warriors,126,0
Toronto Raptors,86,Memphis Grizzlies,92,0
Dallas Mavericks,98,Minnesota Timberwolves,75,0
Los Angeles Lakers,80,New Orleans Pelicans,96,0
New York Knicks,98,Philadelphia 76ers,91,0
Portland Trail Blazers,113,Phoenix Suns,118,0
Brooklyn Nets,103,Sacramento Kings,100,0
Oklahoma City Thunder,105,Washington Wizards,103,1
San Antonio Spurs,81,Chicago Bulls,104,0
Brooklyn Nets,84,Los Angeles Clippers,123,0
Utah Jazz,101,Milwaukee Bucks,99,0
Boston Celtics,90,Portland Trail Blazers,89,0
Oklahoma City Thunder,93,Atlanta Hawks,103,0
Charlotte Hornets,90,Cleveland Cavaliers,129,0
Chicago Bulls,102,Dallas Mavericks,98,0
Boston Celtics,100,Denver Nuggets,99,0
Sacramento Kings,101,Golden State Warriors,126,0
Indiana Pacers,87,Miami Heat,89,0
New Orleans Pelicans,92,Minnesota Timberwolves,84,0
Orlando Magic,106,New York Knicks,113,0
Toronto Raptors,91,Philadelphia 76ers,86,0
Houston Rockets,113,Phoenix Suns,111,0
Los Angeles Lakers,85,San Antonio Spurs,99,0
New York Knicks,71,Charlotte Hornets,76,0
Philadelphia 76ers,83,Memphis Grizzlies,101,0
Detroit Pistons,86,Milwaukee Bucks,101,0
Washington Wizards,96,Portland Trail Blazers,103,0
Brooklyn Nets,73,Utah Jazz,108,0
Minnesota Timberwolves,100,Atlanta Hawks,112,0
Miami Heat,96,Chicago Bulls,84,0
Oklahoma City Thunder,98,Cleveland Cavaliers,108,0
Washington Wizards,117,Denver Nuggets,115,1
Boston Celtics,111,Golden State Warriors,114,0
Houston Rockets,99,Los Angeles Lakers,87,0
Dallas Mavericks,106,New Orleans Pelicans,109,0
Indiana Pacers,106,Orlando Magic,99,0
Los Angeles Clippers,120,Phoenix Suns,100,0
Milwaukee Bucks,95,San Antonio Spurs,101,0
Detroit Pistons,110,Toronto Raptors,114,0
Denver Nuggets,98,Los Angeles Clippers,102,0
Orlando Magic,94,Memphis Grizzlies,103,0
Philadelphia 76ers,74,New Orleans Pelicans,99,0
Minnesota Timberwolves,84,Oklahoma City Thunder,92,0
Boston Celtics,99,Utah Jazz,90,0
Memphis Grizzlies,109,Dallas Mavericks,90,0
Cleveland Cavaliers,103,Detroit Pistons,95,0
Chicago Bulls,113,Golden State Warriors,111,1
Toronto Raptors,104,Indiana Pacers,91,0
Washington Wizards,98,Los Angeles Lakers,92,0
Milwaukee Bucks,109,Miami Heat,102,0
Brooklyn Nets,102,Atlanta Hawks,113,0
Portland Trail Blazers,94,Cleveland Cavaliers,99,0
Dallas Mavericks,94,Houston Rockets,99,0
Boston Celtics,98,Minnesota Timberwolves,110,0
Denver Nuggets,93,New Orleans Pelicans,85,0
Oklahoma City Thunder,92,New York Knicks,100,0
Detroit Pistons,69,Philadelphia 76ers,89,0
Washington Wizards,98,Phoenix Suns,106,0
Charlotte Hornets,86,San Antonio Spurs,95,0
Sacramento Kings,102,Toronto Raptors,119,0
Los Angeles Clippers,94,Utah Jazz,89,0
New York Knicks,82,Indiana Pacers,103,0
Chicago Bulls,118,Los Angeles Lakers,123,2
Denver Nuggets,69,Memphis Grizzlies,99,0
Milwaukee Bucks,115,Orlando Magic,100,0
Portland Trail Blazers,99,Atlanta Hawks,105,0
Houston Rockets,93,Boston Celtics,87,0
Toronto Raptors,127,Brooklyn Nets,122,1
Sacramento Kings,90,Cleveland Cavaliers,101,0
Dallas Mavericks,93,Miami Heat,72,0
Los Angeles Clippers,103,New Orleans Pelicans,108,0
Minnesota Timberwolves,94,Philadelphia 76ers,103,0
Chicago Bulls,93,Phoenix Suns,99,0
Golden State Warriors,100,Utah Jazz,110,0
Philadelphia 76ers,85,Atlanta Hawks,91,0
Charlotte Hornets,104,Denver Nuggets,86,0
Houston Rockets,101,Detroit Pistons,114,0
Phoenix Suns,87,Golden State Warriors,106,0
Sacramento Kings,99,Indiana Pacers,94,0
Oklahoma City Thunder,74,Memphis Grizzlies,85,0
Portland Trail Blazers,88,Milwaukee Bucks,95,0
Cleveland Cavaliers,106,Minnesota Timberwolves,90,0
Dallas Mavericks,108,Orlando Magic,93,0
Los Angeles Clippers,105,San Antonio Spurs,85,0
Toronto Raptors,120,Washington Wizards,116,1
Miami Heat,83,Boston Celtics,75,0
Los Angeles Lakers,80,New York Knicks,92,0
Los Angeles Clippers,100,Brooklyn Nets,102,0
Philadelphia 76ers,84,Cleveland Cavaliers,97,0
Minnesota Timberwolves,94,Dallas Mavericks,100,0
Atlanta Hawks,100,New Orleans Pelicans,115,0
Orlando Magic,97,Oklahoma City Thunder,104,0
Memphis Grizzlies,102,Phoenix Suns,101,0
Milwaukee Bucks,82,Toronto Raptors,75,0
Charlotte Hornets,92,Washington Wizards,88,0
Miami Heat,91,Detroit Pistons,108,0
Boston Celtics,108,New York Knicks,97,0
Denver Nuggets,98,Philadelphia 76ers,105,0
Utah Jazz,102,Portland Trail Blazers,103,0
Golden State Warriors,121,Sacramento Kings,96,0
Washington Wizards,96,Atlanta Hawks,105,0
Denver Nuggets,100,Boston Celtics,104,0
Dallas Mavericks,114,Golden State Warriors,128,0
Chicago Bulls,90,Houston Rockets,101,0
Detroit Pistons,109,Indiana Pacers,114,0
Los Angeles Lakers,105,Milwaukee Bucks,113,1
Miami Heat,101,Minnesota Timberwolves,102,0
Oklahoma City Thunder,102,New Orleans Pelicans,91,0
Orlando Magic,103,San Antonio Spurs,110,0
Brooklyn Nets,109,Toronto Raptors,93,0
Memphis Grizzlies,100,Utah Jazz,90,0
Washington Wizards,87,Charlotte Hornets,94,0
Los Angeles Clippers,94,Cleveland Cavaliers,105,0
Phoenix Suns,87,Portland Trail Blazers,108,0
Dallas Mavericks,101,Sacramento Kings,78,0
Golden State Warriors,116,Atlanta Hawks,124,0
Philadelphia 76ers,96,Boston Celtics,107,0
New York Knicks,88,Brooklyn Nets,92,0
Denver Nuggets,88,Detroit Pistons,98,0
Milwaukee Bucks,111,Houston Rockets,117,0
Cleveland Cavaliers,99,Indiana Pacers,103,0
Memphis Grizzlies,89,Minnesota Timberwolves,90,0
New Orleans Pelicans,116,Oklahoma City Thunder,113,0
Los Angeles Lakers,97,Orlando Magic,103,1
Utah Jazz,93,Phoenix Suns,100,0
Miami Heat,85,San Antonio Spurs,98,0
Los Angeles Clippers,107,Toronto Raptors,123,0
Portland Trail Blazers,101,Dallas Mavericks,111,1
Boston Celtics,93,Milwaukee Bucks,96,0
Chicago Bulls,107,New Orleans Pelicans,72,0
Golden State Warriors,106,New York Knicks,92,0
Charlotte Hornets,81,Philadelphia 76ers,89,0
Sacramento Kings,90,Utah Jazz,102,0
Brooklyn Nets,77,Washington Wizards,114,0
Indiana Pacers,103,Charlotte Hornets,102,0
Los Angeles Lakers,105,Cleveland Cavaliers,120,0
Minnesota Timberwolves,112,Detroit Pistons,101,0
Portland Trail Blazers,109,Houston Rockets,98,0
Atlanta Hawks,88,Memphis Grizzlies,94,0
Los Angeles Clippers,108,Oklahoma City Thunder,131,0
Chicago Bulls,98,Orlando Magic,97,0
Phoenix Suns,83,Sacramento Kings,85,0
San Antonio Spurs,82,Toronto Raptors,87,0
Los Angeles Clippers,115,Dallas Mavericks,98,0
Oklahoma City Thunder,124,Denver Nuggets,114,0
San Antonio Spurs,95,Indiana Pacers,93,0
New York Knicks,95,Miami Heat,109,0
Brooklyn Nets,97,Milwaukee Bucks,103,0
Atlanta Hawks,117,Minnesota Timberwolves,105,0
Utah Jazz,100,New Orleans Pelicans,96,0
Golden State Warriors,89,Philadelphia 76ers,84,0
Orlando Magic,80,Washington Wizards,96,0
Sacramento Kings,86,Chicago Bulls,104,0
Detroit Pistons,106,Charlotte Hornets,78,0
Denver Nuggets,106,Los Angeles Lakers,96,0
Brooklyn Nets,86,Memphis Grizzlies,95,0
Houston Rockets,127,Phoenix Suns,118,0
Atlanta Hawks,88,Boston Celtics,89,0
Miami Heat,93,Cleveland Cavaliers,113,0
Utah Jazz,82,Dallas Mavericks,87,0
San Antonio Spurs,104,Detroit Pistons,87,0
Houston Rockets,95,Los Angeles Clippers,110,0
Sacramento Kings,103,Milwaukee Bucks,111,0
Golden State Warriors,94,Minnesota Timberwolves,91,0
Indiana Pacers,106,New Orleans Pelicans,93,0
Memphis Grizzlies,89,Oklahoma City Thunder,105,0
New York Knicks,83,Orlando Magic,89,0
Los Angeles Lakers,86,Portland Trail Blazers,102,0
Washington Wizards,93,Toronto Raptors,95,0
Cleveland Cavaliers,98,Chicago Bulls,113,0
San Antonio Spurs,115,Los Angeles Clippers,119,0
Dallas Mavericks,89,Oklahoma City Thunder,104,0
Toronto Raptors,105,Atlanta Hawks,80,0
Houston Rockets,100,Dallas Mavericks,111,0
Chicago Bulls,91,Detroit Pistons,100,0
San Antonio Spurs,99,Golden State Warriors,110,0
Brooklyn Nets,114,Los Angeles Lakers,105,0
Denver Nuggets,81,Milwaukee Bucks,89,0
Phoenix Suns,109,Minnesota Timberwolves,111,0
Miami Heat,111,New York Knicks,87,0
New Orleans Pelicans,84,Orlando Magic,95,0
Indiana Pacers,106,Philadelphia 76ers,95,0
Boston Celtics,101,Sacramento Kings,109,0
Portland Trail Blazers,76,Utah Jazz,92,0
Cleveland Cavaliers,127,Washington Wizards,89,0
Phoenix Suns,107,Chicago Bulls,112,0
Oklahoma City Thunder,110,Charlotte Hornets,103,0
Toronto Raptors,76,Houston Rockets,98,0
Sacramento Kings,99,Los Angeles Clippers,126,0
New Orleans Pelicans,105,Miami Heat,91,0
Charlotte Hornets,81,Dallas Mavericks,92,0
Washington Wizards,89,Detroit Pistons,106,0
Golden State Warriors,98,Indiana Pacers,104,0
Boston Celtics,111,Los Angeles Lakers,118,1
Atlanta Hawks,97,Milwaukee Bucks,86,0
Cleveland Cavaliers,101,New York Knicks,83,0
Denver Nuggets,94,Oklahoma City Thunder,119,0
Philadelphia 76ers,98,Orlando Magic,103,0
Memphis Grizzlies,98,Portland Trail Blazers,92,0
Milwaukee Bucks,71,Chicago Bulls,87,0
Brooklyn Nets,110,Denver Nuggets,82,0
Minnesota Timberwolves,102,Houston Rockets,113,0
Memphis Grizzlies,90,Los Angeles Clippers,87,0
Philadelphia 76ers,108,Miami Heat,119,0
Toronto Raptors,97,New Orleans Pelicans,100,0
Boston Celtics,115,Phoenix Suns,110,0
San Antonio Spurs,81,Utah Jazz,90,0
Toronto Raptors,92,Dallas Mavericks,99,0
Cleveland Cavaliers,102,Detroit Pistons,93,0
Indiana Pacers,92,Oklahoma City Thunder,105,0
Golden State Warriors,114,Washington Wizards,107,0
Dallas Mavericks,87,Atlanta Hawks,104,0
New York Knicks,94,Boston Celtics,115,0
Charlotte Hornets,98,Chicago Bulls,86,0
Phoenix Suns,110,Denver Nuggets,96,0
Los Angeles Clippers,105,Houston Rockets,110,0
Philadelphia 76ers,88,Milwaukee Bucks,104,0
Washington Wizards,77,Minnesota Timberwolves,97,0
Brooklyn Nets,96,New Orleans Pelicans,102,0
Miami Heat,93,Orlando Magic,90,1
San Antonio Spurs,95,Portland Trail Blazers,111,0
Memphis Grizzlies,90,Sacramento Kings,102,0
Los Angeles Lakers,100,Utah Jazz,97,0
Golden State Warriors,99,Cleveland Cavaliers,110,0
Oklahoma City Thunder,113,Phoenix Suns,117,1
Orlando Magic,88,Atlanta Hawks,95,0
Charlotte Hornets,98,Boston Celtics,106,0
Minnesota Timberwolves,89,Chicago Bulls,96,0
Utah Jazz,104,Denver Nuggets,82,0
New York Knicks,121,Detroit Pistons,115,2
Brooklyn Nets,98,Houston Rockets,102,0
Cleveland Cavaliers,86,Indiana Pacers,93,0
Milwaukee Bucks,93,Los Angeles Lakers,101,0
Los Angeles Clippers,97,Memphis Grizzlies,79,0
Miami Heat,102,New Orleans Pelicans,104,0
Washington Wizards,81,Philadelphia 76ers,89,0
Oklahoma City Thunder,112,Portland Trail Blazers,115,0
San Antonio Spurs,107,Sacramento Kings,96,0
Golden State Warriors,113,Toronto Raptors,89,0
Brooklyn Nets,104,Dallas Mavericks,94,0
Atlanta Hawks,93,Miami Heat,91,0
Memphis Grizzlies,101,Minnesota Timberwolves,97,0
Toronto Raptors,98,New York Knicks,103,0
San Antonio Spurs,101,Phoenix Suns,74,0
Milwaukee Bucks,75,Utah Jazz,82,0
Detroit Pistons,95,Washington Wizards,99,0
Golden State Warriors,106,Boston Celtics,101,0
Los Angeles Clippers,96,Chicago Bulls,86,0
New Orleans Pelicans,99,Denver Nuggets,92,0
Cleveland Cavaliers,103,Houston Rockets,105,1
Philadelphia 76ers,74,Indiana Pacers,94,0
Oklahoma City Thunder,108,Los Angeles Lakers,101,0
Charlotte Hornets,98,Orlando Magic,83,0
Portland Trail Blazers,110,Sacramento Kings,99,0
Golden State Warriors,108,Brooklyn Nets,110,0
New Orleans Pelicans,93,Dallas Mavericks,102,0
Phoenix Suns,98,Miami Heat,115,0
Los Angeles Clippers,110,Minnesota Timberwolves,105,0
Toronto Raptors,114,Philadelphia 76ers,103,0
Houston Rockets,96,Atlanta Hawks,104,0
Washington Wizards,92,Chicago Bulls,97,0
Los Angeles Lakers,103,Charlotte Hornets,104,0
Boston Celtics,79,Cleveland Cavaliers,110,0
Milwaukee Bucks,95,Denver Nuggets,106,0
Utah Jazz,93,Memphis Grizzlies,82,0
Sacramento Kings,124,New York Knicks,86,0
Utah Jazz,84,Boston Celtics,85,0
Charlotte Hornets,115,Brooklyn Nets,91,0
Milwaukee Bucks,93,Golden State Warriors,102,0
Memphis Grizzlies,102,Houston Rockets,100,0
New York Knicks,82,Indiana Pacers,105,0
Portland Trail Blazers,98,Los Angeles Clippers,93,1
Los Angeles Lakers,94,Miami Heat,100,0
Denver Nuggets,100,Minnesota Timberwolves,85,0
Detroit Pistons,85,New Orleans Pelicans,88,0
Philadelphia 76ers,118,Oklahoma City Thunder,123,1
Phoenix Suns,105,Orlando Magic,100,0
Sacramento Kings,85,San Antonio Spurs,112,0
Cleveland Cavaliers,120,Toronto Raptors,112,0
Oklahoma City Thunder,105,Chicago Bulls,108,0
Dallas Mavericks,75,Portland Trail Blazers,94,0
Cleveland Cavaliers,97,Atlanta Hawks,106,0
Phoenix Suns,108,Brooklyn Nets,100,1
Toronto Raptors,94,Charlotte Hornets,103,0
Dallas Mavericks,89,Golden State Warriors,104,0
Detroit Pistons,93,Houston Rockets,103,0
Chicago Bulls,84,Indiana Pacers,98,0
Los Angeles Lakers,90,Memphis Grizzlies,97,0
Boston Celtics,104,New Orleans Pelicans,98,0
Sacramento Kings,114,Orlando Magic,119,0
Utah Jazz,89,Philadelphia 76ers,83,0
Denver Nuggets,111,San Antonio Spurs,120,0
Miami Heat,97,Washington Wizards,99,0
Phoenix Suns,79,Cleveland Cavaliers,89,0
Houston Rockets,114,Denver Nuggets,100,0
Sacramento Kings,109,Miami Heat,114,1
Washington Wizards,85,Milwaukee Bucks,91,0
Portland Trail Blazers,113,Minnesota Timberwolves,121,0
Memphis Grizzlies,89,New Orleans Pelicans,95,0
Indiana Pacers,92,New York Knicks,86,0
Atlanta Hawks,84,Philadelphia 76ers,92,0
Utah Jazz,95,Brooklyn Nets,88,0
Charlotte Hornets,108,Detroit Pistons,101,0
Los Angeles Clippers,98,Golden State Warriors,106,0
Dallas Mavericks,100,Los Angeles Lakers,93,0
Toronto Raptors,104,Oklahoma City Thunder,108,0
Boston Celtics,98,Orlando Magic,103,0
Chicago Bulls,105,San Antonio Spurs,116,0
Sacramento Kings,105,Atlanta Hawks,130,0
Memphis Grizzlies,101,Chicago Bulls,91,0
Washington Wizards,95,Charlotte Hornets,69,0
New York Knicks,78,Denver Nuggets,106,0
Minnesota Timberwolves,76,Los Angeles Clippers,89,0
Boston Celtics,100,Miami Heat,90,0
New Orleans Pelicans,114,Milwaukee Bucks,103,0
Golden State Warriors,98,Phoenix Suns,80,0
New Orleans Pelicans,111,Brooklyn Nets,91,0
Cleveland Cavaliers,127,Dallas Mavericks,94,0
Orlando Magic,86,Indiana Pacers,118,0
Detroit Pistons,85,Los Angeles Lakers,93,0
Toronto Raptors,107,San Antonio Spurs,117,0
New York Knicks,82,Utah Jazz,87,0
Memphis Grizzlies,92,Boston Celtics,95,0
Sacramento Kings,113,Charlotte Hornets,106,0
Atlanta Hawks,102,Denver Nuggets,115,0
Detroit Pistons,98,Golden State Warriors,105,0
Brooklyn Nets,98,Miami Heat,104,0
Orlando Magic,91,Milwaukee Bucks,97,0
Los Angeles Clippers,120,Oklahoma City Thunder,108,0
Chicago Bulls,104,Philadelphia 76ers,95,1
Minnesota Timberwolves,97,Phoenix Suns,106,0
Houston Rockets,100,Portland Trail Blazers,105,0
Milwaukee Bucks,103,Indiana Pacers,109,1
New York Knicks,101,Los Angeles Lakers,94,0
Cleveland Cavaliers,128,San Antonio Spurs,125,1
Houston Rockets,91,Utah Jazz,109,0
Memphis Grizzlies,87,Washington Wizards,107,0
Orlando Magic,88,Boston Celtics,95,0
Chicago Bulls,91,Charlotte Hornets,101,0
Los Angeles Clippers,99,Dallas Mavericks,129,0
Golden State Warriors,103,Denver Nuggets,114,0
Minnesota Timberwolves,99,Oklahoma City Thunder,113,0
Sacramento Kings,107,Philadelphia 76ers,114,0
Atlanta Hawks,96,Phoenix Suns,87,0
Detroit Pistons,99,Portland Trail Blazers,118,0
Miami Heat,92,Toronto Raptors,102,0
New York Knicks,94,Golden State Warriors,125,0
Boston Celtics,93,Indiana Pacers,89,0
Milwaukee Bucks,83,Memphis Grizzlies,96,0
Brooklyn Nets,94,Philadelphia 76ers,87,0
Detroit Pistons,85,Utah Jazz,88,0
Sacramento Kings,97,Washington Wizards,113,0
Houston Rockets,100,Los Angeles Clippers,98,0
Atlanta Hawks,91,Los Angeles Lakers,86,0
Denver Nuggets,118,New Orleans Pelicans,111,2
Chicago Bulls,100,Oklahoma City Thunder,109,0
Cleveland Cavaliers,123,Orlando Magic,108,0
New York Knicks,89,Phoenix Suns,102,0
Minnesota Timberwolves,97,San Antonio Spurs,123,0
Portland Trail Blazers,113,Toronto Raptors,97,0
Philadelphia 76ers,89,Boston Celtics,108,0
Oklahoma City Thunder,115,Dallas Mavericks,119,0
Los Angeles Lakers,105,Golden State Warriors,108,0
Toronto Raptors,117,Indiana Pacers,98,0
Denver Nuggets,81,Memphis Grizzlies,92,0
Cleveland Cavaliers,92,Miami Heat,106,0
Brooklyn Nets,122,Minnesota Timberwolves,106,0
Atlanta Hawks,110,Sacramento Kings,103,0
Charlotte Hornets,66,Utah Jazz,94,0
Portland Trail Blazers,97,Washington Wizards,105,0
Memphis Grizzlies,95,Detroit Pistons,105,0
Orlando Magic,94,Houston Rockets,107,0
Charlotte Hornets,92,Los Angeles Clippers,99,0
Milwaukee Bucks,84,New Orleans Pelicans,85,0
San Antonio Spurs,100,New York Knicks,104,1
Indiana Pacers,86,Chicago Bulls,103,0
Brooklyn Nets,92,Cleveland Cavaliers,117,0
Orlando Magic,102,Dallas Mavericks,107,0
Atlanta Hawks,95,Golden State Warriors,114,0
Portland Trail Blazers,104,Miami Heat,108,0
San Antonio Spurs,114,Milwaukee Bucks,103,0
Boston Celtics,118,Oklahoma City Thunder,122,0
Detroit Pistons,83,Philadelphia 76ers,94,0
Los Angeles Clippers,116,Sacramento Kings,105,0
Minnesota Timberwolves,100,Toronto Raptors,105,0
Washington Wizards,88,Utah Jazz,84,0
Denver Nuggets,108,Houston Rockets,118,0
Utah Jazz,80,Los Angeles Lakers,73,0
Minnesota Timberwolves,95,New York Knicks,92,1
New Orleans Pelicans,72,Phoenix Suns,74,0
Milwaukee Bucks,127,Brooklyn Nets,129,3
Toronto Raptors,92,Chicago Bulls,108,0
Indiana Pacers,92,Cleveland Cavaliers,95,0
Memphis Grizzlies,112,Dallas Mavericks,101,0
New Orleans Pelicans,96,Golden State Warriors,112,0
Washington Wizards,99,Los Angeles Clippers,113,0
Denver Nuggets,91,Miami Heat,108,0
Atlanta Hawks,115,Oklahoma City Thunder,123,0
Portland Trail Blazers,104,Orlando Magic,111,0
New York Knicks,81,Philadelphia 76ers,97,0
Charlotte Hornets,91,Sacramento Kings,101,0
Boston Celtics,89,San Antonio Spurs,101,0
Chicago Bulls,91,Detroit Pistons,107,0
Utah Jazz,91,Golden State Warriors,106,0
Phoenix Suns,117,Houston Rockets,102,0
Brooklyn Nets,123,Indiana Pacers,111,0
Portland Trail Blazers,86,Memphis Grizzlies,97,0
San Antonio Spurs,114,Atlanta Hawks,95,0
Detroit Pistons,105,Boston Celtics,97,1
New Orleans Pelicans,100,Los Angeles Clippers,107,0
Philadelphia 76ers,87,Los Angeles Lakers,101,0
Cleveland Cavaliers,108,Milwaukee Bucks,90,0
Charlotte Hornets,109,Minnesota Timberwolves,98,0
Miami Heat,75,Oklahoma City Thunder,93,0
Denver Nuggets,119,Orlando Magic,100,0
Dallas Mavericks,92,Phoenix Suns,98,0
Washington Wizards,86,Sacramento Kings,109,0
New York Knicks,89,Toronto Raptors,106,0
Boston Celtics,110,Brooklyn Nets,91,0
Charlotte Hornets,86,Chicago Bulls,98,0
Washington Wizards,76,Golden State Warriors,107,0
Houston Rockets,110,Indiana Pacers,100,0
Memphis Grizzlies,103,New York Knicks,82,0
Minnesota Timberwolves,106,Utah Jazz,104,1
San Antonio Spurs,94,Dallas Mavericks,101,0
Toronto Raptors,104,Detroit Pistons,108,0
Miami Heat,88,Milwaukee Bucks,89,0
Los Angeles Lakers,117,Oklahoma City Thunder,127,0
Golden State Warriors,122,Portland Trail Blazers,108,0
Philadelphia 76ers,106,Sacramento Kings,107,0
Miami Heat,93,Boston Celtics,86,0
Brooklyn Nets,91,Charlotte Hornets,88,0
Philadelphia 76ers,99,Denver Nuggets,85,0
Cleveland Cavaliers,111,Memphis Grizzlies,89,0
Los Angeles Lakers,101,Minnesota Timberwolves,99,1
Houston Rockets,95,New Orleans Pelicans,93,0
Los Angeles Clippers,111,New York Knicks,80,0
Atlanta Hawks,95,Orlando Magic,83,0
Sacramento Kings,108,Phoenix Suns,99,0
Oklahoma City Thunder,91,San Antonio Spurs,130,0
Chicago Bulls,116,Toronto Raptors,103,0
Portland Trail Blazers,92,Utah Jazz,89,0
Indiana Pacers,103,Washington Wizards,101,0
Indiana Pacers,107,Milwaukee Bucks,111,0
Miami Heat,86,Atlanta Hawks,99,0
Cleveland Cavaliers,98,Brooklyn Nets,106,0
Utah Jazz,91,Denver Nuggets,107,0
Minnesota Timberwolves,110,Houston Rockets,120,0
Golden State Warriors,107,Memphis Grizzlies,84,0
Sacramento Kings,88,New Orleans Pelicans,102,0
Boston Celtics,96,New York Knicks,92,0
Detroit Pistons,111,Orlando Magic,97,0
Los Angeles Clippers,119,Philadelphia 76ers,98,0
Portland Trail Blazers,87,Phoenix Suns,81,0
Dallas Mavericks,76,San Antonio Spurs,94,0
Los Angeles Lakers,83,Toronto Raptors,94,0
Charlotte Hornets,107,Washington Wizards,110,2
New York Knicks,80,Chicago Bulls,111,0
Atlanta Hawks,100,Charlotte Hornets,115,0
Golden State Warriors,108,Milwaukee Bucks,95,0
Denver Nuggets,114,Portland Trail Blazers,120,0
Oklahoma City Thunder,89,Utah Jazz,94,0
Los Angeles Clippers,119,Boston Celtics,106,0
Los Angeles Lakers,99,Brooklyn Nets,107,0
Philadelphia 76ers,86,Cleveland Cavaliers,87,0
Dallas Mavericks,99,Indiana Pacers,104,0
Detroit Pistons,102,Miami Heat,109,0
Minnesota Timberwolves,88,New Orleans Pelicans,110,0
Oklahoma City Thunder,109,Phoenix Suns,97,0
Memphis Grizzlies,89,San Antonio Spurs,103,0
Houston Rockets,99,Washington Wizards,91,0
Milwaukee Bucks,88,Atlanta Hawks,101,0
Boston Celtics,116,Charlotte Hornets,104,0
Sacramento Kings,83,Memphis Grizzlies,97,0
Utah Jazz,104,Minnesota Timberwolves,84,0
