Date,Unnamed: 1,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Notes
"Fri, Jan 23, 2015",Box Score,Chicago Bulls,102,Dallas Mavericks,98,,
"Fri, Jan 23, 2015",Box Score,Boston Celtics,100,Denver Nuggets,99,,
"Fri, Jan 23, 2015",Box Score,Sacramento Kings,101,Golden State Warriors,126,,
"Fri, Jan 23, 2015",Box Score,Indiana Pacers,87,Miami Heat,89,,
"Fri, Jan 23, 2015",Box Score,New Orleans Pelicans,92,Minnesota Timberwolves,84,,
"Fri, Jan 23, 2015",Box Score,Orlando Magic,106,New York Knicks,113,,
"Fri, Jan 23, 2015",Box Score,Toronto Raptors,91,Philadelphia 76ers,86,,
"Fri, Jan 23, 2015",Box Score,Houston Rockets,113,Phoenix Suns,111,,
"Fri, Jan 23, 2015",Box Score,Los Angeles Lakers,85,San Antonio Spurs,99,,
"Sat, Jan 24, 2015",Box Score,New York Knicks,71,Charlotte Hornets,76,,
"Sat, Jan 24, 2015",Box Score,Philadelphia 76ers,83,Memphis Grizzlies,101,,
"Sat, Jan 24, 2015",Box Score,Detroit Pistons,86,Milwaukee Bucks,101,,
"Sat, Jan 24, 2015",Box Score,Washington Wizards,96,Portland Trail Blazers,103,,
"Sat, Jan 24, 2015",Box Score,Brooklyn Nets,73,Utah Jazz,108,,
"Sun, Jan 25, 2015",Box Score,Minnesota Timberwolves,100,Atlanta Hawks,112,,
"Sun, Jan 25, 2015",Box Score,Miami Heat,96,Chicago Bulls,84,,
"Sun, Jan 25, 2015",Box Score,Oklahoma City Thunder,98,Cleveland Cavaliers,108,,
"Sun, Jan 25, 2015",Box Score,Washington Wizards,117,Denver Nuggets,115,OT,
"Sun, Jan 25, 2015",Box Score,Boston Celtics,111,Golden State Warriors,114,,
"Sun, Jan 25, 2015",Box Score,Houston Rockets,99,Los Angeles Lakers,87,,
"Sun, Jan 25, 2015",Box Score,Dallas Mavericks,106,New Orleans Pelicans,109,,
"Sun, Jan 25, 2015",Box Score,Indiana Pacers,106,Orlando Magic,99,,
"Sun, Jan 25, 2015",Box Score,Los Angeles Clippers,120,Phoenix Suns,100,,
"Sun, Jan 25, 2015",Box Score,Milwaukee Bucks,95,San Antonio Spurs,101,,
"Sun, Jan 25, 2015",Box Score,Detroit Pistons,110,Toronto Raptors,114,,
"Mon, Jan 26, 2015",Box Score,Denver Nuggets,98,Los Angeles Clippers,102,,
"Mon, Jan 26, 2015",Box Score,Orlando Magic,94,Memphis Grizzlies,103,,
"Mon, Jan 26, 2015",Box Score,Philadelphia 76ers,74,New Orleans Pelicans,99,,
"Mon, Jan 26, 2015",Box Score,Minnesota Timberwolves,84,Oklahoma City Thunder,92,,
"Mon, Jan 26, 2015",Box Score,Boston Celtics,99,Utah Jazz,90,,
"Tue, Jan 27, 2015",Box Score,Memphis Grizzlies,109,Dallas Mavericks,90,,
"Tue, Jan 27, 2015",Box Score,Cleveland Cavaliers,103,Detroit Pistons,95,,
"Tue, Jan 27, 2015",Box Score,Chicago Bulls,113,Golden State Warriors,111,OT,
"Tue, Jan 27, 2015",Box Score,Toronto Raptors,104,Indiana Pacers,91,,
"Tue, Jan 27, 2015",Box Score,Washington Wizards,98,Los Angeles Lakers,92,,
"Tue, Jan 27, 2015",Box Score,Milwaukee Bucks,109,Miami Heat,102,,
"Wed, Jan 28, 2015",Box Score,Brooklyn Nets,102,Atlanta Hawks,113,,
"Wed, Jan 28, 2015",Box Score,Portland Trail Blazers,94,Cleveland Cavaliers,99,,
"Wed, Jan 28, 2015",Box Score,Dallas Mavericks,94,Houston Rockets,99,,
"Wed, Jan 28, 2015",Box Score,Boston Celtics,98,Minnesota Timberwolves,110,,
"Wed, Jan 28, 2015",Box Score,Denver Nuggets,93,New Orleans Pelicans,85,,
"Wed, Jan 28, 2015",Box Score,Oklahoma City Thunder,92,New York Knicks,100,,
"Wed, Jan 28, 2015",Box Score,Detroit Pistons,69,Philadelphia 76ers,89,,
"Wed, Jan 28, 2015",Box Score,Washington Wizards,98,Phoenix Suns,106,,
"Wed, Jan 28, 2015",Box Score,Charlotte Hornets,86,San Antonio Spurs,95,,
"Wed, Jan 28, 2015",Box Score,Sacramento Kings,102,Toronto Raptors,119,,
"Wed, Jan 28, 2015",Box Score,Los Angeles Clippers,94,Utah Jazz,89,,
"Thu, Jan 29, 2015",Box Score,New York Knicks,82,Indiana Pacers,103,,
"Thu, Jan 29, 2015",Box Score,Chicago Bulls,118,Los Angeles Lakers,123,2OT,
"Thu, Jan 29, 2015",Box Score,Denver Nuggets,69,Memphis Grizzlies,99,,
"Thu, Jan 29, 2015",Box Score,Milwaukee Bucks,115,Orlando Magic,100,,
"Fri, Jan 30, 2015",Box Score,Portland Trail Blazers,99,Atlanta Hawks,105,,
"Fri, Jan 30, 2015",Box Score,Houston Rockets,93,Boston Celtics,87,,
"Fri, Jan 30, 2015",Box Score,Toronto Raptors,127,Brooklyn Nets,122,OT,
"Fri, Jan 30, 2015",Box Score,Sacramento Kings,90,Cleveland Cavaliers,101,,
"Fri, Jan 30, 2015",Box Score,Dallas Mavericks,93,Miami Heat,72,,
"Fri, Jan 30, 2015",Box Score,Los Angeles Clippers,103,New Orleans Pelicans,108,,
"Fri, Jan 30, 2015",Box Score,Minnesota Timberwolves,94,Philadelphia 76ers,103,,
"Fri, Jan 30, 2015",Box Score,Chicago Bulls,93,Phoenix Suns,99,,
"Fri, Jan 30, 2015",Box Score,Golden State Warriors,100,Utah Jazz,110,,
"Sat, Jan 31, 2015",Box Score,Philadelphia 76ers,85,Atlanta Hawks,91,,
"Sat, Jan 31, 2015",Box Score,Charlotte Hornets,104,Denver Nuggets,86,,
"Sat, Jan 31, 2015",Box Score,Houston Rockets,101,Detroit Pistons,114,,
"Sat, Jan 31, 2015",Box Score,Phoenix Suns,87,Golden State Warriors,106,,
"Sat, Jan 31, 2015",Box Score,Sacramento Kings,99,Indiana Pacers,94,,
"Sat, Jan 31, 2015",Box Score,Oklahoma City Thunder,74,Memphis Grizzlies,85,,
"Sat, Jan 31, 2015",Box Score,Portland Trail Blazers,88,Milwaukee Bucks,95,,
"Sat, Jan 31, 2015",Box Score,Cleveland Cavaliers,106,Minnesota Timberwolves,90,,
"Sat, Jan 31, 2015",Box Score,Dallas Mavericks,108,Orlando Magic,93,,
"Sat, Jan 31, 2015",Box Score,Los Angeles Clippers,105,San Antonio Spurs,85,,
"Sat, Jan 31, 2015",Box Score,Toronto Raptors,120,Washington Wizards,116,OT,
"Sun, Feb 1, 2015",Box Score,Miami Heat,83,Boston Celtics,75,,
"Sun, Feb 1, 2015",Box Score,Los Angeles Lakers,80,New York Knicks,92,,
"Mon, Feb 2, 2015",Box Score,Los Angeles Clippers,100,Brooklyn Nets,102,,
"Mon, Feb 2, 2015",Box Score,Philadelphia 76ers,84,Cleveland Cavaliers,97,,
"Mon, Feb 2, 2015",Box Score,Minnesota Timberwolves,94,Dallas Mavericks,100,,
"Mon, Feb 2, 2015",Box Score,Atlanta Hawks,100,New Orleans Pelicans,115,,
"Mon, Feb 2, 2015",Box Score,Orlando Magic,97,Oklahoma City Thunder,104,,
"Mon, Feb 2, 2015",Box Score,Memphis Grizzlies,102,Phoenix Suns,101,,
"Mon, Feb 2, 2015",Box Score,Milwaukee Bucks,82,Toronto Raptors,75,,
"Mon, Feb 2, 2015",Box Score,Charlotte Hornets,92,Washington Wizards,88,,
"Tue, Feb 3, 2015",Box Score,Miami Heat,91,Detroit Pistons,108,,
"Tue, Feb 3, 2015",Box Score,Boston Celtics,108,New York Knicks,97,,
"Tue, Feb 3, 2015",Box Score,Denver Nuggets,98,Philadelphia 76ers,105,,
"Tue, Feb 3, 2015",Box Score,Utah Jazz,102,Portland Trail Blazers,103,,
"Tue, Feb 3, 2015",Box Score,Golden State Warriors,121,Sacramento Kings,96,,
"Wed, Feb 4, 2015",Box Score,Washington Wizards,96,Atlanta Hawks,105,,
"Wed, Feb 4, 2015",Box Score,Denver Nuggets,100,Boston Celtics,104,,
"Wed, Feb 4, 2015",Box Score,Dallas Mavericks,114,Golden State Warriors,128,,
"Wed, Feb 4, 2015",Box Score,Chicago Bulls,90,Houston Rockets,101,,
"Wed, Feb 4, 2015",Box Score,Detroit Pistons,109,Indiana Pacers,114,,
"Wed, Feb 4, 2015",Box Score,Los Angeles Lakers,105,Milwaukee Bucks,113,OT,
"Wed, Feb 4, 2015",Box Score,Miami Heat,101,Minnesota Timberwolves,102,,
"Wed, Feb 4, 2015",Box Score,Oklahoma City Thunder,102,New Orleans Pelicans,91,,
"Wed, Feb 4, 2015",Box Score,Orlando Magic,103,San Antonio Spurs,110,,
"Wed, Feb 4, 2015",Box Score,Brooklyn Nets,109,Toronto Raptors,93,,
"Wed, Feb 4, 2015",Box Score,Memphis Grizzlies,100,Utah Jazz,90,,
"Thu, Feb 5, 2015",Box Score,Washington Wizards,87,Charlotte Hornets,94,,
"Thu, Feb 5, 2015",Box Score,Los Angeles Clippers,94,Cleveland Cavaliers,105,,
"Thu, Feb 5, 2015",Box Score,Phoenix Suns,87,Portland Trail Blazers,108,,
"Thu, Feb 5, 2015",Box Score,Dallas Mavericks,101,Sacramento Kings,78,,
"Fri, Feb 6, 2015",Box Score,Golden State Warriors,116,Atlanta Hawks,124,,
"Fri, Feb 6, 2015",Box Score,Philadelphia 76ers,96,Boston Celtics,107,,
"Fri, Feb 6, 2015",Box Score,New York Knicks,88,Brooklyn Nets,92,,
"Fri, Feb 6, 2015",Box Score,Denver Nuggets,88,Detroit Pistons,98,,
"Fri, Feb 6, 2015",Box Score,Milwaukee Bucks,111,Houston Rockets,117,,
"Fri, Feb 6, 2015",Box Score,Cleveland Cavaliers,99,Indiana Pacers,103,,
"Fri, Feb 6, 2015",Box Score,Memphis Grizzlies,89,Minnesota Timberwolves,90,,
"Fri, Feb 6, 2015",Box Score,New Orleans Pelicans,116,Oklahoma City Thunder,113,,
"Fri, Feb 6, 2015",Box Score,Los Angeles Lakers,97,Orlando Magic,103,OT,
"Fri, Feb 6, 2015",Box Score,Utah Jazz,93,Phoenix Suns,100,,
"Fri, Feb 6, 2015",Box Score,Miami Heat,85,San Antonio Spurs,98,,
"Fri, Feb 6, 2015",Box Score,Los Angeles Clippers,107,Toronto Raptors,123,,
"Sat, Feb 7, 2015",Box Score,Portland Trail Blazers,101,Dallas Mavericks,111,OT,
"Sat, Feb 7, 2015",Box Score,Boston Celtics,93,Milwaukee Bucks,96,,
"Sat, Feb 7, 2015",Box Score,Chicago Bulls,107,New Orleans Pelicans,72,,
"Sat, Feb 7, 2015",Box Score,Golden State Warriors,106,New York Knicks,92,,
"Sat, Feb 7, 2015",Box Score,Charlotte Hornets,81,Philadelphia 76ers,89,,
"Sat, Feb 7, 2015",Box Score,Sacramento Kings,90,Utah Jazz,102,,
"Sat, Feb 7, 2015",Box Score,Brooklyn Nets,77,Washington Wizards,114,,
"Sun, Feb 8, 2015",Box Score,Indiana Pacers,103,Charlotte Hornets,102,,
"Sun, Feb 8, 2015",Box Score,Los Angeles Lakers,105,Cleveland Cavaliers,120,,
"Sun, Feb 8, 2015",Box Score,Minnesota Timberwolves,112,Detroit Pistons,101,,
"Sun, Feb 8, 2015",Box Score,Portland Trail Blazers,109,Houston Rockets,98,,
"Sun, Feb 8, 2015",Box Score,Atlanta Hawks,88,Memphis Grizzlies,94,,
"Sun, Feb 8, 2015",Box Score,Los Angeles Clippers,108,Oklahoma City Thunder,131,,
"Sun, Feb 8, 2015",Box Score,Chicago Bulls,98,Orlando Magic,97,,
"Sun, Feb 8, 2015",Box Score,Phoenix Suns,83,Sacramento Kings,85,,
"Sun, Feb 8, 2015",Box Score,San Antonio Spurs,82,Toronto Raptors,87,,
"Mon, Feb 9, 2015",Box Score,Los Angeles Clippers,115,Dallas Mavericks,98,,
"Mon, Feb 9, 2015",Box Score,Oklahoma City Thunder,124,Denver Nuggets,114,,
"Mon, Feb 9, 2015",Box Score,San Antonio Spurs,95,Indiana Pacers,93,,
"Mon, Feb 9, 2015",Box Score,New York Knicks,95,Miami Heat,109,,
"Mon, Feb 9, 2015",Box Score,Brooklyn Nets,97,Milwaukee Bucks,103,,
"Mon, Feb 9, 2015",Box Score,Atlanta Hawks,117,Minnesota Timberwolves,105,,
"Mon, Feb 9, 2015",Box Score,Utah Jazz,100,New Orleans Pelicans,96,,
"Mon, Feb 9, 2015",Box Score,Golden State Warriors,89,Philadelphia 76ers,84,,
"Mon, Feb 9, 2015",Box Score,Orlando Magic,80,Washington Wizards,96,,
"Tue, Feb 10, 2015",Box Score,Sacramento Kings,86,Chicago Bulls,104,,
"Tue, Feb 10, 2015",Box Score,Detroit Pistons,106,Charlotte Hornets,78,,
"Tue, Feb 10, 2015",Box Score,Denver Nuggets,106,Los Angeles Lakers,96,,
"Tue, Feb 10, 2015",Box Score,Brooklyn Nets,86,Memphis Grizzlies,95,,
"Tue, Feb 10, 2015",Box Score,Houston Rockets,127,Phoenix Suns,118,,
"Wed, Feb 11, 2015",Box Score,Atlanta Hawks,88,Boston Celtics,89,,
"Wed, Feb 11, 2015",Box Score,Miami Heat,93,Cleveland Cavaliers,113,,
"Wed, Feb 11, 2015",Box Score,Utah Jazz,82,Dallas Mavericks,87,,
"Wed, Feb 11, 2015",Box Score,San Antonio Spurs,104,Detroit Pistons,87,,
"Wed, Feb 11, 2015",Box Score,Houston Rockets,95,Los Angeles Clippers,110,,
"Wed, Feb 11, 2015",Box Score,Sacramento Kings,103,Milwaukee Bucks,111,,
"Wed, Feb 11, 2015",Box Score,Golden State Warriors,94,Minnesota Timberwolves,91,,
"Wed, Feb 11, 2015",Box Score,Indiana Pacers,106,New Orleans Pelicans,93,,
"Wed, Feb 11, 2015",Box Score,Memphis Grizzlies,89,Oklahoma City Thunder,105,,
"Wed, Feb 11, 2015",Box Score,New York Knicks,83,Orlando Magic,89,,
"Wed, Feb 11, 2015",Box Score,Los Angeles Lakers,86,Portland Trail Blazers,102,,
"Wed, Feb 11, 2015",Box Score,Washington Wizards,93,Toronto Raptors,95,,
"Thu, Feb 12, 2015",Box Score,Cleveland Cavaliers,98,Chicago Bulls,113,,
"Thu, Feb 19, 2015",Box Score,San Antonio Spurs,115,Los Angeles Clippers,119,,
"Thu, Feb 19, 2015",Box Score,Dallas Mavericks,89,Oklahoma City Thunder,104,,
"Fri, Feb 20, 2015",Box Score,Toronto Raptors,105,Atlanta Hawks,80,,
"Fri, Feb 20, 2015",Box Score,Houston Rockets,100,Dallas Mavericks,111,,
"Fri, Feb 20, 2015",Box Score,Chicago Bulls,91,Detroit Pistons,100,,
"Fri, Feb 20, 2015",Box Score,San Antonio Spurs,99,Golden State Warriors,110,,
"Fri, Feb 20, 2015",Box Score,Brooklyn Nets,114,Los Angeles Lakers,105,,
"Fri, Feb 20, 2015",Box Score,Denver Nuggets,81,Milwaukee Bucks,89,,
"Fri, Feb 20, 2015",Box Score,Phoenix Suns,109,Minnesota Timberwolves,111,,
"Fri, Feb 20, 2015",Box Score,Miami Heat,111,New York Knicks,87,,
"Fri, Feb 20, 2015",Box Score,New Orleans Pelicans,84,Orlando Magic,95,,
"Fri, Feb 20, 2015",Box Score,Indiana Pacers,106,Philadelphia 76ers,95,,
"Fri, Feb 20, 2015",Box Score,Boston Celtics,101,Sacramento Kings,109,,
"Fri, Feb 20, 2015",Box Score,Portland Trail Blazers,76,Utah Jazz,92,,
"Fri, Feb 20, 2015",Box Score,Cleveland Cavaliers,127,Washington Wizards,89,,
"Sat, Feb 21, 2015",Box Score,Phoenix Suns,107,Chicago Bulls,112,,
"Sat, Feb 21, 2015",Box Score,Oklahoma City Thunder,110,Charlotte Hornets,103,,
"Sat, Feb 21, 2015",Box Score,Toronto Raptors,76,Houston Rockets,98,,
"Sat, Feb 21, 2015",Box Score,Sacramento Kings,99,Los Angeles Clippers,126,,
"Sat, Feb 21, 2015",Box Score,New Orleans Pelicans,105,Miami Heat,91,,
"Sun, Feb 22, 2015",Box Score,Charlotte Hornets,81,Dallas Mavericks,92,,
"Sun, Feb 22, 2015",Box Score,Washington Wizards,89,Detroit Pistons,106,,
"Sun, Feb 22, 2015",Box Score,Golden State Warriors,98,Indiana Pacers,104,,
"Sun, Feb 22, 2015",Box Score,Boston Celtics,111,Los Angeles Lakers,118,OT,
"Sun, Feb 22, 2015",Box Score,Atlanta Hawks,97,Milwaukee Bucks,86,,
"Sun, Feb 22, 2015",Box Score,Cleveland Cavaliers,101,New York Knicks,83,,
"Sun, Feb 22, 2015",Box Score,Denver Nuggets,94,Oklahoma City Thunder,119,,
"Sun, Feb 22, 2015",Box Score,Philadelphia 76ers,98,Orlando Magic,103,,
"Sun, Feb 22, 2015",Box Score,Memphis Grizzlies,98,Portland Trail Blazers,92,,
"Mon, Feb 23, 2015",Box Score,Milwaukee Bucks,71,Chicago Bulls,87,,
"Mon, Feb 23, 2015",Box Score,Brooklyn Nets,110,Denver Nuggets,82,,
"Mon, Feb 23, 2015",Box Score,Minnesota Timberwolves,102,Houston Rockets,113,,
"Mon, Feb 23, 2015",Box Score,Memphis Grizzlies,90,Los Angeles Clippers,87,,
"Mon, Feb 23, 2015",Box Score,Philadelphia 76ers,108,Miami Heat,119,,
"Mon, Feb 23, 2015",Box Score,Toronto Raptors,97,New Orleans Pelicans,100,,
"Mon, Feb 23, 2015",Box Score,Boston Celtics,115,Phoenix Suns,110,,
"Mon, Feb 23, 2015",Box Score,San Antonio Spurs,81,Utah Jazz,90,,
"Tue, Feb 24, 2015",Box Score,Toronto Raptors,92,Dallas Mavericks,99,,
"Tue, Feb 24, 2015",Box Score,Cleveland Cavaliers,102,Detroit Pistons,93,,
"Tue, Feb 24, 2015",Box Score,Indiana Pacers,92,Oklahoma City Thunder,105,,
"Tue, Feb 24, 2015",Box Score,Golden State Warriors,114,Washington Wizards,107,,
"Wed, Feb 25, 2015",Box Score,Dallas Mavericks,87,Atlanta Hawks,104,,
"Wed, Feb 25, 2015",Box Score,New York Knicks,94,Boston Celtics,115,,
"Wed, Feb 25, 2015",Box Score,Charlotte Hornets,98,Chicago Bulls,86,,
"Wed, Feb 25, 2015",Box Score,Phoenix Suns,110,Denver Nuggets,96,,
"Wed, Feb 25, 2015",Box Score,Los Angeles Clippers,105,Houston Rockets,110,,
"Wed, Feb 25, 2015",Box Score,Philadelphia 76ers,88,Milwaukee Bucks,104,,
"Wed, Feb 25, 2015",Box Score,Washington Wizards,77,Minnesota Timberwolves,97,,
"Wed, Feb 25, 2015",Box Score,Brooklyn Nets,96,New Orleans Pelicans,102,,
"Wed, Feb 25, 2015",Box Score,Miami Heat,93,Orlando Magic,90,OT,
"Wed, Feb 25, 2015",Box Score,San Antonio Spurs,95,Portland Trail Blazers,111,,
"Wed, Feb 25, 2015",Box Score,Memphis Grizzlies,90,Sacramento Kings,102,,
"Wed, Feb 25, 2015",Box Score,Los Angeles Lakers,100,Utah Jazz,97,,
"Thu, Feb 26, 2015",Box Score,Golden State Warriors,99,Cleveland Cavaliers,110,,
"Thu, Feb 26, 2015",Box Score,Oklahoma City Thunder,113,Phoenix Suns,117,OT,
"Fri, Feb 27, 2015",Box Score,Orlando Magic,88,Atlanta Hawks,95,,
"Fri, Feb 27, 2015",Box Score,Charlotte Hornets,98,Boston Celtics,106,,
"Fri, Feb 27, 2015",Box Score,Minnesota Timberwolves,89,Chicago Bulls,96,,
"Fri, Feb 27, 2015",Box Score,Utah Jazz,104,Denver Nuggets,82,,
"Fri, Feb 27, 2015",Box Score,New York Knicks,121,Detroit Pistons,115,2OT,
"Fri, Feb 27, 2015",Box Score,Brooklyn Nets,98,Houston Rockets,102,,
"Fri, Feb 27, 2015",Box Score,Cleveland Cavaliers,86,Indiana Pacers,93,,
"Fri, Feb 27, 2015",Box Score,Milwaukee Bucks,93,Los Angeles Lakers,101,,
"Fri, Feb 27, 2015",Box Score,Los Angeles Clippers,97,Memphis Grizzlies,79,,
"Fri, Feb 27, 2015",Box Score,Miami Heat,102,New Orleans Pelicans,104,,
"Fri, Feb 27, 2015",Box Score,Washington Wizards,81,Philadelphia 76ers,89,,
"Fri, Feb 27, 2015",Box Score,Oklahoma City Thunder,112,Portland Trail Blazers,115,,
"Fri, Feb 27, 2015",Box Score,San Antonio Spurs,107,Sacramento Kings,96,,
"Fri, Feb 27, 2015",Box Score,Golden State Warriors,113,Toronto Raptors,89,,
"Sat, Feb 28, 2015",Box Score,Brooklyn Nets,104,Dallas Mavericks,94,,
"Sat, Feb 28, 2015",Box Score,Atlanta Hawks,93,Miami Heat,91,,
"Sat, Feb 28, 2015",Box Score,Memphis Grizzlies,101,Minnesota Timberwolves,97,,
"Sat, Feb 28, 2015",Box Score,Toronto Raptors,98,New York Knicks,103,,
"Sat, Feb 28, 2015",Box Score,San Antonio Spurs,101,Phoenix Suns,74,,
"Sat, Feb 28, 2015",Box Score,Milwaukee Bucks,75,Utah Jazz,82,,
"Sat, Feb 28, 2015",Box Score,Detroit Pistons,95,Washington Wizards,99,,
"Sun, Mar 1, 2015",Box Score,Golden State Warriors,106,Boston Celtics,101,,
"Sun, Mar 1, 2015",Box Score,Los Angeles Clippers,96,Chicago Bulls,86,,
"Sun, Mar 1, 2015",Box Score,New Orleans Pelicans,99,Denver Nuggets,92,,
"Sun, Mar 1, 2015",Box Score,Cleveland Cavaliers,103,Houston Rockets,105,OT,
"Sun, Mar 1, 2015",Box Score,Philadelphia 76ers,74,Indiana Pacers,94,,
"Sun, Mar 1, 2015",Box Score,Oklahoma City Thunder,108,Los Angeles Lakers,101,,
"Sun, Mar 1, 2015",Box Score,Charlotte Hornets,98,Orlando Magic,83,,
"Sun, Mar 1, 2015",Box Score,Portland Trail Blazers,110,Sacramento Kings,99,,
"Mon, Mar 2, 2015",Box Score,Golden State Warriors,108,Brooklyn Nets,110,,
"Mon, Mar 2, 2015",Box Score,New Orleans Pelicans,93,Dallas Mavericks,102,,
"Mon, Mar 2, 2015",Box Score,Phoenix Suns,98,Miami Heat,115,,
"Mon, Mar 2, 2015",Box Score,Los Angeles Clippers,110,Minnesota Timberwolves,105,,
"Mon, Mar 2, 2015",Box Score,Toronto Raptors,114,Philadelphia 76ers,103,,
"Tue, Mar 3, 2015",Box Score,Houston Rockets,96,Atlanta Hawks,104,,
"Tue, Mar 3, 2015",Box Score,Washington Wizards,92,Chicago Bulls,97,,
"Tue, Mar 3, 2015",Box Score,Los Angeles Lakers,103,Charlotte Hornets,104,,
"Tue, Mar 3, 2015",Box Score,Boston Celtics,79,Cleveland Cavaliers,110,,
"Tue, Mar 3, 2015",Box Score,Milwaukee Bucks,95,Denver Nuggets,106,,
"Tue, Mar 3, 2015",Box Score,Utah Jazz,93,Memphis Grizzlies,82,,
"Tue, Mar 3, 2015",Box Score,Sacramento Kings,124,New York Knicks,86,,
"Wed, Mar 4, 2015",Box Score,Utah Jazz,84,Boston Celtics,85,,
"Wed, Mar 4, 2015",Box Score,Charlotte Hornets,115,Brooklyn Nets,91,,
"Wed, Mar 4, 2015",Box Score,Milwaukee Bucks,93,Golden State Warriors,102,,
"Wed, Mar 4, 2015",Box Score,Memphis Grizzlies,102,Houston Rockets,100,,
"Wed, Mar 4, 2015",Box Score,New York Knicks,82,Indiana Pacers,105,,
"Wed, Mar 4, 2015",Box Score,Portland Trail Blazers,98,Los Angeles Clippers,93,OT,
"Wed, Mar 4, 2015",Box Score,Los Angeles Lakers,94,Miami Heat,100,,
"Wed, Mar 4, 2015",Box Score,Denver Nuggets,100,Minnesota Timberwolves,85,,
"Wed, Mar 4, 2015",Box Score,Detroit Pistons,85,New Orleans Pelicans,88,,
"Wed, Mar 4, 2015",Box Score,Philadelphia 76ers,118,Oklahoma City Thunder,123,OT,
"Wed, Mar 4, 2015",Box Score,Phoenix Suns,105,Orlando Magic,100,,
"Wed, Mar 4, 2015",Box Score,Sacramento Kings,85,San Antonio Spurs,112,,
"Wed, Mar 4, 2015",Box Score,Cleveland Cavaliers,120,Toronto Raptors,112,,
"Thu, Mar 5, 2015",Box Score,Oklahoma City Thunder,105,Chicago Bulls,108,,
"Thu, Mar 5, 2015",Box Score,Dallas Mavericks,75,Portland Trail Blazers,94,,
"Fri, Mar 6, 2015",Box Score,Cleveland Cavaliers,97,Atlanta Hawks,106,,
"Fri, Mar 6, 2015",Box Score,Phoenix Suns,108,Brooklyn Nets,100,OT,
"Fri, Mar 6, 2015",Box Score,Toronto Raptors,94,Charlotte Hornets,103,,
"Fri, Mar 6, 2015",Box Score,Dallas Mavericks,89,Golden State Warriors,104,,
"Fri, Mar 6, 2015",Box Score,Detroit Pistons,93,Houston Rockets,103,,
"Fri, Mar 6, 2015",Box Score,Chicago Bulls,84,Indiana Pacers,98,,
"Fri, Mar 6, 2015",Box Score,Los Angeles Lakers,90,Memphis Grizzlies,97,,
"Fri, Mar 6, 2015",Box Score,Boston Celtics,104,New Orleans Pelicans,98,,
"Fri, Mar 6, 2015",Box Score,Sacramento Kings,114,Orlando Magic,119,,
"Fri, Mar 6, 2015",Box Score,Utah Jazz,89,Philadelphia 76ers,83,,
"Fri, Mar 6, 2015",Box Score,Denver Nuggets,111,San Antonio Spurs,120,,
"Fri, Mar 6, 2015",Box Score,Miami Heat,97,Washington Wizards,99,,
"Sat, Mar 7, 2015",Box Score,Phoenix Suns,79,Cleveland Cavaliers,89,,
"Sat, Mar 7, 2015",Box Score,Houston Rockets,114,Denver Nuggets,100,,
"Sat, Mar 7, 2015",Box Score,Sacramento Kings,109,Miami Heat,114,OT,
"Sat, Mar 7, 2015",Box Score,Washington Wizards,85,Milwaukee Bucks,91,,
"Sat, Mar 7, 2015",Box Score,Portland Trail Blazers,113,Minnesota Timberwolves,121,,
"Sat, Mar 7, 2015",Box Score,Memphis Grizzlies,89,New Orleans Pelicans,95,,
"Sat, Mar 7, 2015",Box Score,Indiana Pacers,92,New York Knicks,86,,
"Sat, Mar 7, 2015",Box Score,Atlanta Hawks,84,Philadelphia 76ers,92,,
"Sun, Mar 8, 2015",Box Score,Utah Jazz,95,Brooklyn Nets,88,,
"Sun, Mar 8, 2015",Box Score,Charlotte Hornets,108,Detroit Pistons,101,,
"Sun, Mar 8, 2015",Box Score,Los Angeles Clippers,98,Golden State Warriors,106,,
"Sun, Mar 8, 2015",Box Score,Dallas Mavericks,100,Los Angeles Lakers,93,,
"Sun, Mar 8, 2015",Box Score,Toronto Raptors,104,Oklahoma City Thunder,108,,
"Sun, Mar 8, 2015",Box Score,Boston Celtics,98,Orlando Magic,103,,
"Sun, Mar 8, 2015",Box Score,Chicago Bulls,105,San Antonio Spurs,116,,
"Mon, Mar 9, 2015",Box Score,Sacramento Kings,105,Atlanta Hawks,130,,
"Mon, Mar 9, 2015",Box Score,Memphis Grizzlies,101,Chicago Bulls,91,,
"Mon, Mar 9, 2015",Box Score,Washington Wizards,95,Charlotte Hornets,69,,
"Mon, Mar 9, 2015",Box Score,New York Knicks,78,Denver Nuggets,106,,
"Mon, Mar 9, 2015",Box Score,Minnesota Timberwolves,76,Los Angeles Clippers,89,,
"Mon, Mar 9, 2015",Box Score,Boston Celtics,100,Miami Heat,90,,
"Mon, Mar 9, 2015",Box Score,New Orleans Pelicans,114,Milwaukee Bucks,103,,
"Mon, Mar 9, 2015",Box Score,Golden State Warriors,98,Phoenix Suns,80,,
"Tue, Mar 10, 2015",Box Score,New Orleans Pelicans,111,Brooklyn Nets,91,,
"Tue, Mar 10, 2015",Box Score,Cleveland Cavaliers,127,Dallas Mavericks,94,,
"Tue, Mar 10, 2015",Box Score,Orlando Magic,86,Indiana Pacers,118,,
"Tue, Mar 10, 2015",Box Score,Detroit Pistons,85,Los Angeles Lakers,93,,
"Tue, Mar 10, 2015",Box Score,Toronto Raptors,107,San Antonio Spurs,117,,
